product id,product name,category,price,sales volume,review count,average rating,stock,launch date,on promotion,promotion discount,return rate,customer satisfaction,market feedback,advertising cost,region,competitor price,product weight,product size,launch platform
1,Product1,Electronics,326.49,10,243,4.8,17,2022-01-01,No,0.3,0.14,7.1,Poor,570.92,East,142.3,4.31,Large,Third-party Platform
2,Product2,Food,224.42,21,285,3.1,15,2022-01-02,No,0.16,0.19,9.7,Average,184.55,West,370.25,3.65,Medium,Third-party Platform
3,Product3,Home Goods,446.97,81,147,2.7,4,2022-01-03,Yes,0.02,0.1,8.9,Poor,618.35,North,481.47,1.84,Medium,Third-party Platform
4,Product4,Electronics,482.19,70,147,2.1,41,2022-01-04,No,0.32,0.2,5.6,Poor,936.37,North,131.89,4.16,Medium,Official Website
5,Product5,Food,197.89,80,398,4.1,42,2022-01-05,No,0.48,0.1,1.5,Poor,386.71,North,292.32,2.28,Small,Official Website
6,Product6,Food,397.95,48,423,2.8,31,2022-01-06,Yes,0.33,0.23,5.1,Poor,700.67,South,300.1,4.46,Small,Third-party Platform
7,Product7,Food,269.16,65,288,3.3,1,2022-01-07,Yes,0.32,0.28,1.2,Poor,218.62,East,290.4,3.12,Small,Third-party Platform
8,Product8,Food,288.34,83,449,1.1,1,2022-01-08,No,0.5,0.2,5.0,Good,744.69,North,119.31,4.47,Medium,Official Website
9,Product9,Home Goods,463.54,89,265,3.5,39,2022-01-09,Yes,0.29,0.0,9.8,Average,360.47,South,476.85,3.62,Large,Official Website
10,Product10,Food,44.81,50,185,3.4,41,2022-01-10,Yes,0.21,0.19,4.2,Poor,264.87,East,229.09,3.76,Medium,Official Website
